id,lighting,distance,side,rotation,trial,time,frame,annotation,confidence,filename
t08,Ll,D30,Sc00,Rc,01,1,4, left, 0.90,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,5, left, 0.92,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,6, left, 0.91,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,7, left, 0.92,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,8, left, 0.91,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,9, left, 0.87,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,10, left, 0.87,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,11, left, 0.83,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,12, left, 0.82,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,13, left, 0.76,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,14, left, 0.71,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,15, left, 0.68,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,16, left, 0.62,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,17, left, 0.57,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,18, left, 0.53,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,19, right, 0.52,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,20, right, 0.60,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,21, right, 0.62,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,22, right, 0.59,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,23, right, 0.54,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,24, left, 0.55,t08_Ll_D30_Sc00_Rc_01_1.txt
t08,Ll,D30,Sc00,Rc,01,1,25, right, 0.51,t08_Ll_D30_Sc00_Rc_01_1.txt
