id,lighting,distance,side,rotation,trial,time,frame,annotation,confidence,filename
c01,Lr,D30,Sc00,Rc,1,1,32, right,1.0,c01_Lr_D30_Sc00_Rc_01_1.txt
c01,Lr,D30,Sc00,Rc,1,2,30, right,1.0,c01_Lr_D30_Sc00_Rc_01_2.txt
c01,Lr,D30,Sc00,Rc,2,1,31, right,1.0,c01_Lr_D30_Sc00_Rc_02_1.txt
c01,Lr,D30,Sc00,Rc,2,2,31, right,0.99,c01_Lr_D30_Sc00_Rc_02_2.txt
c01,Lr,D30,Sc00,Rc,3,1,32, right,0.99,c01_Lr_D30_Sc00_Rc_03_1.txt
c01,Lr,D30,Sc00,Rc,3,2,32, right,1.0,c01_Lr_D30_Sc00_Rc_03_2.txt
c01,Lr,D30,Sc00,Rc,4,1,31, right,0.84,c01_Lr_D30_Sc00_Rc_04_1.txt
c01,Lr,D30,Sc00,Rc,4,2,31, right,0.96,c01_Lr_D30_Sc00_Rc_04_2.txt
c01,Lr,D30,Sc00,Rc,5,1,32, right,0.99,c01_Lr_D30_Sc00_Rc_05_1.txt
c01,Lr,D30,Sc00,Rc,5,2,32, right,0.93,c01_Lr_D30_Sc00_Rc_05_2.txt
c01,Lr,D30,Sc00,Rc,6,1,31, right,0.96,c01_Lr_D30_Sc00_Rc_06_1.txt
c01,Lr,D30,Sc00,Rc,6,2,31, right,0.97,c01_Lr_D30_Sc00_Rc_06_2.txt
c01,Lr,D30,Sc00,Rc,7,1,31, right,1.0,c01_Lr_D30_Sc00_Rc_07_1.txt
c01,Lr,D30,Sc00,Rc,7,2,31, left,0.99,c01_Lr_D30_Sc00_Rc_07_2.txt
c01,Lr,D30,Sc00,Rc,8,1,31, left,0.69,c01_Lr_D30_Sc00_Rc_08_1.txt
c01,Lr,D30,Sc00,Rc,8,2,31, right,1.0,c01_Lr_D30_Sc00_Rc_08_2.txt
c01,Lr,D30,Sc00,Rc,9,1,32, left,0.67,c01_Lr_D30_Sc00_Rc_09_1.txt
c01,Lr,D30,Sc00,Rc,9,2,32, right,1.0,c01_Lr_D30_Sc00_Rc_09_2.txt
c01,Lr,D30,Sc00,Rc,10,1,31, right,1.0,c01_Lr_D30_Sc00_Rc_10_1.txt
c01,Lr,D30,Sc00,Rc,10,2,31, right,0.95,c01_Lr_D30_Sc00_Rc_10_2.txt
c01,Lr,D30,Sc00,Rl,1,1,31, away,0.76,c01_Lr_D30_Sc00_Rl_01_1.txt
c01,Lr,D30,Sc00,Rl,1,2,32, away,0.98,c01_Lr_D30_Sc00_Rl_01_2.txt
c01,Lr,D30,Sc00,Rl,2,1,31, left,0.77,c01_Lr_D30_Sc00_Rl_02_1.txt
c01,Lr,D30,Sc00,Rl,2,2,32, away,0.99,c01_Lr_D30_Sc00_Rl_02_2.txt
c01,Lr,D30,Sc00,Rl,3,1,31, left,0.84,c01_Lr_D30_Sc00_Rl_03_1.txt
c01,Lr,D30,Sc00,Rl,3,2,32, away,0.95,c01_Lr_D30_Sc00_Rl_03_2.txt
c01,Lr,D30,Sc00,Rl,4,1,32, left,0.44,c01_Lr_D30_Sc00_Rl_04_1.txt
c01,Lr,D30,Sc00,Rl,4,2,33, right,0.82,c01_Lr_D30_Sc00_Rl_04_2.txt
c01,Lr,D30,Sc00,Rl,5,1,32, right,0.46,c01_Lr_D30_Sc00_Rl_05_1.txt
c01,Lr,D30,Sc00,Rl,5,2,33, right,0.69,c01_Lr_D30_Sc00_Rl_05_2.txt
c01,Lr,D30,Sc00,Rl,6,1,30, away,0.85,c01_Lr_D30_Sc00_Rl_06_1.txt
c01,Lr,D30,Sc00,Rl,6,2,31, right,0.87,c01_Lr_D30_Sc00_Rl_06_2.txt
c01,Lr,D30,Sc00,Rl,7,1,31, left,0.79,c01_Lr_D30_Sc00_Rl_07_1.txt
c01,Lr,D30,Sc00,Rl,7,2,32, right,0.85,c01_Lr_D30_Sc00_Rl_07_2.txt
