"","id","lighting","distance","side","rotation","trial","time","frame","filename","iCatcher_NonAnonymized","iCatcher_Anonymized","OWLET_NonAnonymized","OWLET_Anonymized"
"1","c01","Lr","D30","Sc00","Rc",1,1,32,"c01_Lr_D30_Sc00_Rc_01_1","Yes","Yes","Yes","Yes"
"2","c01","Lr","D30","Sc00","Rc",1,2,30,"c01_Lr_D30_Sc00_Rc_01_2","Yes","Yes","Yes","Yes"
"3","c01","Lr","D30","Sc00","Rc",2,1,31,"c01_Lr_D30_Sc00_Rc_02_1","Yes","Yes","Yes","Yes"
"4","c01","Lr","D30","Sc00","Rc",2,2,31,"c01_Lr_D30_Sc00_Rc_02_2","Yes","Yes","Yes","Yes"
"5","c01","Lr","D30","Sc00","Rc",3,1,32,"c01_Lr_D30_Sc00_Rc_03_1","Yes","Yes","Yes","Yes"
"6","c01","Lr","D30","Sc00","Rc",3,2,32,"c01_Lr_D30_Sc00_Rc_03_2","Yes","Yes","Yes","Yes"
"7","c01","Lr","D30","Sc00","Rc",4,1,31,"c01_Lr_D30_Sc00_Rc_04_1","Yes","Yes","Yes","Yes"
"8","c01","Lr","D30","Sc00","Rc",4,2,31,"c01_Lr_D30_Sc00_Rc_04_2","Yes","Yes","Yes","Yes"
"9","c01","Lr","D30","Sc00","Rc",5,1,32,"c01_Lr_D30_Sc00_Rc_05_1","Yes","Yes","Yes","Yes"
"10","c01","Lr","D30","Sc00","Rc",5,2,32,"c01_Lr_D30_Sc00_Rc_05_2","Yes","Yes","Yes","Yes"
"11","c01","Lr","D30","Sc00","Rc",6,1,31,"c01_Lr_D30_Sc00_Rc_06_1","Yes","Yes","Yes","Yes"
"12","c01","Lr","D30","Sc00","Rc",6,2,31,"c01_Lr_D30_Sc00_Rc_06_2","Yes","Yes","Yes","Yes"
"13","c01","Lr","D30","Sc00","Rc",7,1,31,"c01_Lr_D30_Sc00_Rc_07_1","Yes","Yes","Yes","Yes"
"14","c01","Lr","D30","Sc00","Rc",7,2,31,"c01_Lr_D30_Sc00_Rc_07_2","Yes","Yes","Yes","No"
"15","c01","Lr","D30","Sc00","Rc",8,1,31,"c01_Lr_D30_Sc00_Rc_08_1","Yes","Yes","Yes","Yes"
"16","c01","Lr","D30","Sc00","Rc",8,2,31,"c01_Lr_D30_Sc00_Rc_08_2","Yes","Yes","Yes","Yes"
"17","c01","Lr","D30","Sc00","Rc",9,1,32,"c01_Lr_D30_Sc00_Rc_09_1","Yes","Yes","Yes","Yes"
"18","c01","Lr","D30","Sc00","Rc",9,2,32,"c01_Lr_D30_Sc00_Rc_09_2","Yes","Yes","Yes","Yes"
"19","c01","Lr","D30","Sc00","Rc",10,1,31,"c01_Lr_D30_Sc00_Rc_10_1","Yes","Yes","Yes","Yes"
"20","c01","Lr","D30","Sc00","Rc",10,2,31,"c01_Lr_D30_Sc00_Rc_10_2","Yes","Yes","Yes","Yes"
"21","c01","Lr","D30","Sc00","Rl",1,1,31,"c01_Lr_D30_Sc00_Rl_01_1","Yes","Yes","Yes","Yes"
"22","c01","Lr","D30","Sc00","Rl",1,2,32,"c01_Lr_D30_Sc00_Rl_01_2","Yes","Yes","Yes","Yes"
"23","c01","Lr","D30","Sc00","Rl",2,1,31,"c01_Lr_D30_Sc00_Rl_02_1","Yes","Yes","Yes","Yes"
"24","c01","Lr","D30","Sc00","Rl",2,2,32,"c01_Lr_D30_Sc00_Rl_02_2","Yes","Yes","Yes","Yes"
"25","c01","Lr","D30","Sc00","Rl",3,1,31,"c01_Lr_D30_Sc00_Rl_03_1","Yes","Yes","Yes","Yes"
"26","c01","Lr","D30","Sc00","Rl",3,2,32,"c01_Lr_D30_Sc00_Rl_03_2","Yes","Yes","Yes","Yes"
"27","c01","Lr","D30","Sc00","Rl",4,1,32,"c01_Lr_D30_Sc00_Rl_04_1","Yes","Yes","Yes","Yes"
"28","c01","Lr","D30","Sc00","Rl",4,2,33,"c01_Lr_D30_Sc00_Rl_04_2","Yes","Yes","Yes","Yes"
"29","c01","Lr","D30","Sc00","Rl",5,1,32,"c01_Lr_D30_Sc00_Rl_05_1","Yes","Yes","Yes","Yes"
