id,lighting,distance,side,rotation,trial,time,frame,annotation,confidence,filename
c05,Lr,D30,Sc00,Rc,01,1,4, right, 0.63,c05_Lr_D30_Sc00_Rc_01_1.txt
c05,Lr,D30,Sc00,Rc,01,1,5, right, 0.93,c05_Lr_D30_Sc00_Rc_01_1.txt
c05,Lr,D30,Sc00,Rc,01,1,6, right, 0.93,c05_Lr_D30_Sc00_Rc_01_1.txt
c05,Lr,D30,Sc00,Rc,01,1,7, right, 0.91,c05_Lr_D30_Sc00_Rc_01_1.txt
c05,Lr,D30,Sc00,Rc,01,1,8, right, 0.95,c05_Lr_D30_Sc00_Rc_01_1.txt
c05,Lr,D30,Sc00,Rc,01,1,9, right, 0.91,c05_Lr_D30_Sc00_Rc_01_1.txt
c05,Lr,D30,Sc00,Rc,01,1,10, right, 0.96,c05_Lr_D30_Sc00_Rc_01_1.txt
c05,Lr,D30,Sc00,Rc,01,1,11, right, 0.90,c05_Lr_D30_Sc00_Rc_01_1.txt
c05,Lr,D30,Sc00,Rc,01,1,12, right, 0.98,c05_Lr_D30_Sc00_Rc_01_1.txt
c05,Lr,D30,Sc00,Rc,01,1,13, right, 0.89,c05_Lr_D30_Sc00_Rc_01_1.txt
c05,Lr,D30,Sc00,Rc,01,2,4, right, 0.93,c05_Lr_D30_Sc00_Rc_01_2.txt
c05,Lr,D30,Sc00,Rc,01,2,5, right, 0.92,c05_Lr_D30_Sc00_Rc_01_2.txt
c05,Lr,D30,Sc00,Rc,01,2,6, right, 0.91,c05_Lr_D30_Sc00_Rc_01_2.txt
c05,Lr,D30,Sc00,Rc,01,2,7, right, 0.81,c05_Lr_D30_Sc00_Rc_01_2.txt
c05,Lr,D30,Sc00,Rc,01,2,8, right, 0.82,c05_Lr_D30_Sc00_Rc_01_2.txt
c05,Lr,D30,Sc00,Rc,01,2,9, right, 0.88,c05_Lr_D30_Sc00_Rc_01_2.txt
c05,Lr,D30,Sc00,Rc,01,2,10, right, 0.88,c05_Lr_D30_Sc00_Rc_01_2.txt
