seq,id,condition,same_direction
1,t01,t01_Lr_D30_Sl24_Rc_02_,1
2,t01,t01_Lr_D30_Sl24_Rc_03_,1
3,t01,t01_Lr_D30_Sl24_Rr_06_,1
4,t01,t01_Lr_D30_Sl24_Rr_08_,1
5,t01,t01_Lr_D30_Sr24_Rr_08_,1
6,t01,t01_Lr_D30_Sr24_Rr_10_,1
7,t01,t01_Lr_D60_Sc00_Rl_04_,1
8,t01,t01_Lr_D60_Sl24_Rc_07_,1
9,t01,t01_Lr_D90_Sc00_Rr_07_,1
10,t01,t01_Lr_D90_Sl24_Rl_02_,1
11,t01,t01_Lr_D90_Sl24_Rl_04_,1
12,t01,t01_Lr_D90_Sr24_Rc_01_,1
13,t01,t01_Lr_D90_Sr24_Rr_01_,1
14,t01,t01_Lr_D90_Sr24_Rr_06_,1
15,t02,t02_Ll_D30_Sc00_Rc_03_,1
16,t02,t02_Ll_D30_Sc00_Rr_09_,1
17,t02,t02_Ll_D30_Sl24_Rl_03_,1
18,t02,t02_Ll_D30_Sr24_Rr_10_,1
19,t02,t02_Ll_D60_Sl24_Rc_09_,1
20,t02,t02_Ll_D60_Sr24_Rr_02_,1
21,t02,t02_Ll_D90_Sl24_Rl_01_,1
22,t02,t02_Ll_D90_Sl24_Rl_03_,1
23,t02,t02_Ll_D90_Sl24_Rl_08_,0
24,t02,t02_Ll_D90_Sl24_Rl_09_,1
25,t02,t02_Ll_D90_Sl24_Rr_03_,1
26,t02,t02_Ll_D90_Sl24_Rr_09_,1
27,t02,t02_Ll_D90_Sr24_Rc_06_,1
28,t02,t02_Ll_D90_Sr24_Rr_03_,1
29,t03,t03_Lc_D30_Sc00_Rr_04_,1
30,t03,t03_Lc_D30_Sl24_Rc_01_,1
31,t03,t03_Lc_D30_Sl24_Rc_10_,1
32,t03,t03_Lc_D30_Sl24_Rr_03_,1
33,t03,t03_Lc_D30_Sl24_Rr_08_,1
34,t03,t03_Lc_D30_Sl24_Rr_09_,1
35,t03,t03_Lc_D60_Sc00_Rr_08_,1
36,t03,t03_Lc_D60_Sl24_Rc_01_,1
37,t03,t03_Lc_D60_Sl24_Rr_03_,1
38,t03,t03_Lc_D60_Sr24_Rr_02_,1
39,t03,t03_Lc_D90_Sc00_Rl_08_,1
40,t03,t03_Lc_D90_Sc00_Rr_08_,1
41,t03,t03_Lc_D90_Sl24_Rc_03_,1
42,t03,t03_Lc_D90_Sr24_Rl_05_,1
43,t04,t04_Lr_D30_Sc00_Rr_06_,1
44,t04,t04_Lr_D30_Sl24_Rr_10_,1
45,t04,t04_Lr_D60_Sc00_Rl_02_,1
46,t04,t04_Lr_D60_Sc00_Rr_02_,1
47,t04,t04_Lr_D60_Sc00_Rr_09_,1
48,t04,t04_Lr_D60_Sl24_Rr_03_,1
